Model Name,Release Date,price,MMLU,GPQA Diamond,HumanEval,MATH-500,LMSys Chatbot Arena ELO,MATH 5,Tokens per Second,Prefill Latency (s),Prompt Length (tk),source,Provider,Input Price (USD/1M tokens),Output Price (USD/1M tokens)
GPT-3 175B (davinci),2021-11-20,60.0,43.9,,,,,,,,,epoch,,,
GPT-3 175B (davinci),2022-08-31,60.0,43.9,,,,,,,,,epoch,,,
GPT-3 175B (davinci),2022-09-01,20.0,43.9,,,,,,,,,epoch,,,
GPT-3.5,2022-11-30,20.0,64.8,,,,,,,,,epoch,,,
GPT-3.5 Turbo,2023-03-06,2.0,68.0,,,,1106.0,,,,,epoch,,,
GPT-4-0314,2023-03-14,37.5,86.0,33.0,67.0,,1186.0,,23.6,0.724,1000.0,epoch,,,
GPT-4-0613,2023-06-13,37.5,,31.0,,,1163.0,23.0,,,,epoch,,,
GPT-3.5-Turbo-2023-06,2023-06-13,3.25,68.0,28.8,71.0,44.0,1117.0,15.0,,,,epoch,,,
Llama-2-Chat-7B,2023-07-18,0.33,13.0,6.0,13.0,,1037.0,,125.4,0.508,1000.0,epoch,,,
Llama-2-Chat-13B,2023-07-18,0.56,45.0,19.0,,,1063.0,,43.1,0.447,1000.0,epoch,,,
GPT-3.5-Turbo-2023-11,2023-11-06,0.75,68.0,30.0,71.0,44.0,1107.0,15.0,121.5,0.598,1000.0,epoch,,,
GPT-4 Turbo,2023-11-06,15.0,87.0,50.0,92.0,74.0,1256.0,36.0,39.2,1.246,1000.0,epoch,,,
Llama 2-70B Chat,2023-12-01,0.7625,68.9,26.0,,,1093.0,3.0,,,,epoch,,,
Llama 2-7B,2023-12-01,0.2,45.3,,,,,,,,,epoch,,,
Llama 2-13B,2023-12-08,0.35,54.8,,,,,,,,,epoch,,,
GPT-3 175B (davinci),2024-01-04,20.0,63.1,,,,,,,,,epoch,,,
GPT-4-0125,2024-01-25,15.0,,42.0,,,1245.0,35.0,,,,epoch,,,
GPT-3.5-Turbo-2024-01,2024-01-25,0.75,68.0,30.0,71.0,44.0,1106.0,11.0,,,,epoch,,,
Mistral-Small-2024-02,2024-02-26,1.5,69.0,31.0,79.0,56.0,,,54.1,0.429,1000.0,epoch,,,
Mistral-Large-2024-02,2024-02-26,6.0,69.0,36.0,69.0,49.0,1157.0,21.0,37.8,0.5,1000.0,epoch,,,
Claude-3-Haiku,2024-03-04,0.5,71.0,33.0,77.0,39.0,1179.0,13.0,122.7,0.467,1000.0,epoch,,,
Claude-3-Opus,2024-03-04,30.0,84.0,50.0,83.0,64.0,1248.0,34.0,26.5,1.984,1000.0,epoch,,,
Claude-3-Sonnet,2024-03-04,6.0,77.0,37.0,71.0,41.0,1201.0,16.0,61.8,0.789,1000.0,epoch,,,
Llama 2-13B,2024-04-14,0.22,54.8,,,,,,,,,epoch,,,
Llama 2-7B,2024-04-14,0.13,45.3,,,,,,,,,epoch,,,
Mistral-8x22,2024-04-17,1.2,76.0,37.0,74.0,56.0,1148.0,23.0,85.3,0.624,1000.0,epoch,,,
Llama-3-Instruct-70B,2024-04-18,0.89,79.0,39.0,18.0,53.0,1206.0,22.0,44.6,0.472,1000.0,epoch,,,
Llama-3-Instruct-8B,2024-04-18,0.15,64.0,30.0,53.0,32.0,1152.0,8.0,122.8,0.33,1000.0,epoch,,,
Gemini-1.5-Flash-2024-05,2024-05-10,0.13,79.0,39.0,,55.0,1227.0,23.0,298.4,0.307,1000.0,epoch,,,
GPT-4o-2024-05,2024-05-13,7.5,87.0,53.0,94.0,79.0,1285.0,48.0,86.4,0.687,1000.0,epoch,,,
Gemini-1.5-Pro-2024-05,2024-05-23,2.19,86.0,46.0,83.0,66.0,1260.0,41.0,64.8,0.738,1000.0,epoch,,,
Claude-3.5-Sonnet-2024-06,2024-06-20,6.0,88.0,56.0,90.0,71.0,1268.0,46.0,55.9,0.906,1000.0,epoch,,,
