Model Name,Provider,Release Date,Input Price (USD/1M tokens),Output Price (USD/1M tokens),Weighted Avg Price (USD/1M tokens),MMLU,GPQA Diamond,HumanEval,MATH-500,LMSys Chatbot Arena ELO,MATH Level 5
GPT-4.5,OpenAI,2025-02-27,75.00,150.00,93.75,90.8,69.5,87.1,,,88.6
GPT-4.1,OpenAI,2025-04-14,2.00,8.00,3.50,90.2,66.3,82.1,,,94.5
GPT-4.1 mini,OpenAI,2025-04-14,0.40,1.60,0.70,87.5,65.0,81.4,,,93.8
GPT-4.1 nano,OpenAI,2025-04-14,0.10,0.40,0.175,80.1,50.3,62.3,,,87.0
o3,OpenAI,2025-04-16,2.00,8.00,3.50,92.9,82.8,97.8,97.6,,97.8
o3-pro,OpenAI,2025-06-10,20.00,80.00,35.00,,87.7,,97.6,,
o4-mini,OpenAI,2025-04-16,1.10,4.40,1.925,90.0,77.6,97.5,98.2,,97.3
GPT-5.4,OpenAI,2026-03-05,2.50,15.00,5.625,88.5,92.0,,,,
GPT-5.3 Codex,OpenAI,2026-01-15,3.00,15.00,6.00,,91.5,,,,
Claude 3.7 Sonnet,Anthropic,2025-02-24,3.00,15.00,6.00,,68.0,,,,82.2
Claude Sonnet 4,Anthropic,2025-05-22,3.00,15.00,6.00,86.5,75.4,,,,
Claude 4.5 Sonnet,Anthropic,2025-09-29,3.00,15.00,6.00,,83.4,,,,97.7
Claude Opus 4,Anthropic,2025-05-22,15.00,75.00,30.00,88.8,79.6,,,,
Claude Opus 4.1,Anthropic,2025-08-05,15.00,75.00,30.00,,,,,,
Claude Opus 4.5,Anthropic,2025-11-01,5.00,25.00,10.00,,,,,,
Claude Opus 4.6,Anthropic,2026-02-05,5.00,25.00,10.00,91.1,91.3,,,1503,
Claude Sonnet 4.6,Anthropic,2026-02-17,3.00,15.00,6.00,89.3,74.1,,,,
Claude Haiku 4.5,Anthropic,2025-10-01,1.00,5.00,2.00,,,,,,
Gemini 2.0 Flash,Google,2025-02-05,0.10,0.40,0.175,76.4,62.1,51.8,,,
Gemini 2.5 Pro,Google,2025-03-25,1.25,10.00,3.4375,89.8,84.0,,,,
Gemini 2.5 Flash,Google,2025-05-20,0.30,2.50,0.85,88.4,82.8,,,,
Gemini 3.1 Pro,Google,2026-02-19,2.00,12.00,4.50,92.6,94.3,,,,
Gemini 3.1 Flash-Lite,Google,2026-03-03,0.25,1.50,0.5625,88.9,86.9,,,,
Llama 4 Scout,Meta,2025-04-05,0.15,0.40,0.2125,79.6,65.1,74.1,,,50.3
Llama 4 Maverick,Meta,2025-04-05,0.27,0.85,0.415,85.5,82.2,82.4,,,61.2
DeepSeek-V3-0324,DeepSeek,2025-03-24,0.27,1.10,0.4775,88.5,68.4,,,,90.2
DeepSeek-R1,DeepSeek,2025-01-20,0.55,2.19,1.06,90.8,71.5,,97.3,,97.3
DeepSeek-V3.2,DeepSeek,2025-10-01,0.28,0.42,0.315,,,,,,
Mistral Large 3,Mistral,2025-12-02,0.50,1.50,0.75,85.5,43.9,92.0,,,
Qwen3-235B-A22B,Alibaba,2025-05-15,0.78,3.90,1.56,,,,,,
Grok 3,xAI,2025-02-17,3.00,15.00,6.00,92.7,84.6,,,,
Grok 3 mini,xAI,2025-02-17,0.30,0.50,0.35,,,,,,
Grok 4,xAI,2026-01-20,3.00,15.00,6.00,,,,,,
Grok 4 Fast,xAI,2026-01-20,0.20,0.50,0.275,,,,,,
